name,Qiskit cnot,Qiskit depth,Qiskit time,Qiskitcnot cnot,Qiskitcnot depth,Qiskitcnot time,Qiskitdepth cnot,Qiskitdepth depth,Qiskitdepth time,Qiskit_freecnot cnot,Qiskit_freecnot depth,Qiskit_freecnot time,Qiskit_freedepth cnot,Qiskit_freedepth depth,Qiskit_freedepth time
15_qiskit_circuit,3622,2501,0.18431997299194336,2967,1868,536.1948170661926,2996,1737,191.3718979358673,2609,1619,499.24461817741394,2712,1518,117.00223207473755
10_qiskit_circuit,777,604,0.04224586486816406,594,429,114.738352060318,599,394,34.28870511054993,522,360,66.49280214309692,509,310,23.26244831085205
20_qiskit_circuit,11469,6783,0.5928449630737305,9361,5045,1457.20529794693,9474,4791,423.4758269786835,8297,4464,1454.1404020786285,8397,4179,334.2358777523041
